date1,date2,scene1,scene2
2018-04-03,2018-04-15,S1A_IW_SLC__1SDV_20180403T025349_20180403T025419_021297_024A48_B8F1,S1A_IW_SLC__1SDV_20180415T025350_20180415T025420_021472_024FB9_8978
2018-04-03,2018-04-27,S1A_IW_SLC__1SDV_20180403T025349_20180403T025419_021297_024A48_B8F1,S1A_IW_SLC__1SDV_20180427T025350_20180427T025420_021647_025531_272E
2018-04-03,2018-05-09,S1A_IW_SLC__1SDV_20180403T025349_20180403T025419_021297_024A48_B8F1,S1A_IW_SLC__1SDV_20180509T025351_20180509T025421_021822_025ABF_E705
2018-04-03,2018-05-21,S1A_IW_SLC__1SDV_20180403T025349_20180403T025419_021297_024A48_B8F1,S1A_IW_SLC__1SDV_20180521T025352_20180521T025421_021997_026053_DBC8
2018-04-15,2018-04-27,S1A_IW_SLC__1SDV_20180415T025350_20180415T025420_021472_024FB9_8978,S1A_IW_SLC__1SDV_20180427T025350_20180427T025420_021647_025531_272E
2018-04-15,2018-05-09,S1A_IW_SLC__1SDV_20180415T025350_20180415T025420_021472_024FB9_8978,S1A_IW_SLC__1SDV_20180509T025351_20180509T025421_021822_025ABF_E705
2018-04-15,2018-05-21,S1A_IW_SLC__1SDV_20180415T025350_20180415T025420_021472_024FB9_8978,S1A_IW_SLC__1SDV_20180521T025352_20180521T025421_021997_026053_DBC8
2018-04-27,2018-05-09,S1A_IW_SLC__1SDV_20180427T025350_20180427T025420_021647_025531_272E,S1A_IW_SLC__1SDV_20180509T025351_20180509T025421_021822_025ABF_E705
2018-04-27,2018-05-21,S1A_IW_SLC__1SDV_20180427T025350_20180427T025420_021647_025531_272E,S1A_IW_SLC__1SDV_20180521T025352_20180521T025421_021997_026053_DBC8
2018-04-27,2018-06-14,S1A_IW_SLC__1SDV_20180427T025350_20180427T025420_021647_025531_272E,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699
2018-05-09,2018-05-21,S1A_IW_SLC__1SDV_20180509T025351_20180509T025421_021822_025ABF_E705,S1A_IW_SLC__1SDV_20180521T025352_20180521T025421_021997_026053_DBC8
2018-05-09,2018-06-14,S1A_IW_SLC__1SDV_20180509T025351_20180509T025421_021822_025ABF_E705,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699
2018-05-09,2018-06-26,S1A_IW_SLC__1SDV_20180509T025351_20180509T025421_021822_025ABF_E705,S1A_IW_SLC__1SDV_20180626T025354_20180626T025424_022522_02707E_E7C7
2018-05-09,2019-05-28,S1A_IW_SLC__1SDV_20180509T025351_20180509T025421_021822_025ABF_E705,S1A_IW_SLC__1SDV_20190528T025358_20190528T025428_027422_0317E9_8A3E
2018-05-21,2018-06-14,S1A_IW_SLC__1SDV_20180521T025352_20180521T025421_021997_026053_DBC8,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699
2018-05-21,2018-06-26,S1A_IW_SLC__1SDV_20180521T025352_20180521T025421_021997_026053_DBC8,S1A_IW_SLC__1SDV_20180626T025354_20180626T025424_022522_02707E_E7C7
2018-05-21,2018-07-08,S1A_IW_SLC__1SDV_20180521T025352_20180521T025421_021997_026053_DBC8,S1A_IW_SLC__1SDV_20180708T025354_20180708T025424_022697_027597_4892
2018-06-14,2018-06-26,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699,S1A_IW_SLC__1SDV_20180626T025354_20180626T025424_022522_02707E_E7C7
2018-06-14,2018-07-08,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699,S1A_IW_SLC__1SDV_20180708T025354_20180708T025424_022697_027597_4892
2018-06-14,2018-07-20,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699,S1A_IW_SLC__1SDV_20180720T025355_20180720T025425_022872_027AF4_C63E
2018-06-14,2018-08-01,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699,S1A_IW_SLC__1SDV_20180801T025356_20180801T025426_023047_02807D_79B1
2018-06-14,2019-07-03,S1A_IW_SLC__1SDV_20180614T025353_20180614T025423_022347_026B5A_F699,S1A_IW_SLC__1SDV_20190703T025400_20190703T025430_027947_0327C3_6B74
2018-06-26,2018-07-08,S1A_IW_SLC__1SDV_20180626T025354_20180626T025424_022522_02707E_E7C7,S1A_IW_SLC__1SDV_20180708T025354_20180708T025424_022697_027597_4892
2018-06-26,2018-07-20,S1A_IW_SLC__1SDV_20180626T025354_20180626T025424_022522_02707E_E7C7,S1A_IW_SLC__1SDV_20180720T025355_20180720T025425_022872_027AF4_C63E
2018-06-26,2018-08-01,S1A_IW_SLC__1SDV_20180626T025354_20180626T025424_022522_02707E_E7C7,S1A_IW_SLC__1SDV_20180801T025356_20180801T025426_023047_02807D_79B1
2018-07-08,2018-07-20,S1A_IW_SLC__1SDV_20180708T025354_20180708T025424_022697_027597_4892,S1A_IW_SLC__1SDV_20180720T025355_20180720T025425_022872_027AF4_C63E
2018-07-08,2018-08-01,S1A_IW_SLC__1SDV_20180708T025354_20180708T025424_022697_027597_4892,S1A_IW_SLC__1SDV_20180801T025356_20180801T025426_023047_02807D_79B1
2018-07-20,2018-08-01,S1A_IW_SLC__1SDV_20180720T025355_20180720T025425_022872_027AF4_C63E,S1A_IW_SLC__1SDV_20180801T025356_20180801T025426_023047_02807D_79B1
2018-07-20,2018-09-06,S1A_IW_SLC__1SDV_20180720T025355_20180720T025425_022872_027AF4_C63E,S1A_IW_SLC__1SDV_20180906T025358_20180906T025428_023572_02914B_93B4
2018-07-20,2019-07-27,S1A_IW_SLC__1SDV_20180720T025355_20180720T025425_022872_027AF4_C63E,S1A_IW_SLC__1SDV_20190727T025402_20190727T025431_028297_033265_4CBA
2018-08-01,2018-09-06,S1A_IW_SLC__1SDV_20180801T025356_20180801T025426_023047_02807D_79B1,S1A_IW_SLC__1SDV_20180906T025358_20180906T025428_023572_02914B_93B4
2018-08-01,2018-09-18,S1A_IW_SLC__1SDV_20180801T025356_20180801T025426_023047_02807D_79B1,S1A_IW_SLC__1SDV_20180918T025358_20180918T025428_023747_0296E3_C0CC
2018-09-06,2018-09-18,S1A_IW_SLC__1SDV_20180906T025358_20180906T025428_023572_02914B_93B4,S1A_IW_SLC__1SDV_20180918T025358_20180918T025428_023747_0296E3_C0CC
2018-09-06,2018-09-30,S1A_IW_SLC__1SDV_20180906T025358_20180906T025428_023572_02914B_93B4,S1A_IW_SLC__1SDV_20180930T025358_20180930T025428_023922_029C92_A28A
2018-09-06,2018-10-12,S1A_IW_SLC__1SDV_20180906T025358_20180906T025428_023572_02914B_93B4,S1A_IW_SLC__1SDV_20181012T025359_20181012T025429_024097_02A255_70A1
