date1,date2,scene1,scene2
2018-04-05,2018-04-17,S1A_IW_SLC__1SDV_20180405T023745_20180405T023812_021326_024B31_FBCC,S1A_IW_SLC__1SDV_20180417T023746_20180417T023813_021501_0250AA_DB4D
2018-04-05,2018-04-29,S1A_IW_SLC__1SDV_20180405T023745_20180405T023812_021326_024B31_FBCC,S1A_IW_SLC__1SDV_20180429T023746_20180429T023813_021676_025624_F876
2018-04-05,2018-05-11,S1A_IW_SLC__1SDV_20180405T023745_20180405T023812_021326_024B31_FBCC,S1A_IW_SLC__1SDV_20180511T023747_20180511T023814_021851_025BB4_7C90
2018-04-05,2018-05-23,S1A_IW_SLC__1SDV_20180405T023745_20180405T023812_021326_024B31_FBCC,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129
2018-04-17,2018-04-29,S1A_IW_SLC__1SDV_20180417T023746_20180417T023813_021501_0250AA_DB4D,S1A_IW_SLC__1SDV_20180429T023746_20180429T023813_021676_025624_F876
2018-04-17,2018-05-11,S1A_IW_SLC__1SDV_20180417T023746_20180417T023813_021501_0250AA_DB4D,S1A_IW_SLC__1SDV_20180511T023747_20180511T023814_021851_025BB4_7C90
2018-04-17,2018-05-23,S1A_IW_SLC__1SDV_20180417T023746_20180417T023813_021501_0250AA_DB4D,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129
2018-04-17,2018-06-04,S1A_IW_SLC__1SDV_20180417T023746_20180417T023813_021501_0250AA_DB4D,S1A_IW_SLC__1SDV_20180604T023748_20180604T023815_022201_0266CE_63D2
2018-04-29,2018-05-11,S1A_IW_SLC__1SDV_20180429T023746_20180429T023813_021676_025624_F876,S1A_IW_SLC__1SDV_20180511T023747_20180511T023814_021851_025BB4_7C90
2018-04-29,2018-05-23,S1A_IW_SLC__1SDV_20180429T023746_20180429T023813_021676_025624_F876,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129
2018-04-29,2018-06-04,S1A_IW_SLC__1SDV_20180429T023746_20180429T023813_021676_025624_F876,S1A_IW_SLC__1SDV_20180604T023748_20180604T023815_022201_0266CE_63D2
2018-04-29,2018-06-16,S1A_IW_SLC__1SDV_20180429T023746_20180429T023813_021676_025624_F876,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276
2018-05-11,2018-05-23,S1A_IW_SLC__1SDV_20180511T023747_20180511T023814_021851_025BB4_7C90,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129
2018-05-11,2018-06-04,S1A_IW_SLC__1SDV_20180511T023747_20180511T023814_021851_025BB4_7C90,S1A_IW_SLC__1SDV_20180604T023748_20180604T023815_022201_0266CE_63D2
2018-05-11,2018-06-16,S1A_IW_SLC__1SDV_20180511T023747_20180511T023814_021851_025BB4_7C90,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276
2018-05-23,2018-06-04,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129,S1A_IW_SLC__1SDV_20180604T023748_20180604T023815_022201_0266CE_63D2
2018-05-23,2018-06-16,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276
2018-05-23,2018-07-10,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129,S1A_IW_SLC__1SDV_20180710T023750_20180710T023817_022726_027679_EC85
2018-05-23,2019-05-30,S1A_IW_SLC__1SDV_20180523T023748_20180523T023814_022026_026144_6129,S1A_IW_SLC__1SDV_20190530T023754_20190530T023821_027451_0318CD_CE7B
2018-06-04,2018-06-16,S1A_IW_SLC__1SDV_20180604T023748_20180604T023815_022201_0266CE_63D2,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276
2018-06-04,2018-07-10,S1A_IW_SLC__1SDV_20180604T023748_20180604T023815_022201_0266CE_63D2,S1A_IW_SLC__1SDV_20180710T023750_20180710T023817_022726_027679_EC85
2018-06-04,2018-07-22,S1A_IW_SLC__1SDV_20180604T023748_20180604T023815_022201_0266CE_63D2,S1A_IW_SLC__1SDV_20180722T023751_20180722T023818_022901_027BE3_44D9
2018-06-16,2018-07-10,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276,S1A_IW_SLC__1SDV_20180710T023750_20180710T023817_022726_027679_EC85
2018-06-16,2018-07-22,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276,S1A_IW_SLC__1SDV_20180722T023751_20180722T023818_022901_027BE3_44D9
2018-06-16,2018-08-03,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5
2018-06-16,2019-07-05,S1A_IW_SLC__1SDV_20180616T023749_20180616T023816_022376_026C37_B276,S1A_IW_SLC__1SDV_20190705T023756_20190705T023823_027976_0328A9_B47D
2018-07-10,2018-07-22,S1A_IW_SLC__1SDV_20180710T023750_20180710T023817_022726_027679_EC85,S1A_IW_SLC__1SDV_20180722T023751_20180722T023818_022901_027BE3_44D9
2018-07-10,2018-08-03,S1A_IW_SLC__1SDV_20180710T023750_20180710T023817_022726_027679_EC85,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5
2018-07-10,2018-08-15,S1A_IW_SLC__1SDV_20180710T023750_20180710T023817_022726_027679_EC85,S1A_IW_SLC__1SDV_20180815T023753_20180815T023819_023251_028702_7D4B
2018-07-10,2018-08-27,S1A_IW_SLC__1SDV_20180710T023750_20180710T023817_022726_027679_EC85,S1A_IW_SLC__1SDV_20180827T023753_20180827T023820_023426_028CA0_4F67
2018-07-22,2018-08-03,S1A_IW_SLC__1SDV_20180722T023751_20180722T023818_022901_027BE3_44D9,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5
2018-07-22,2018-08-15,S1A_IW_SLC__1SDV_20180722T023751_20180722T023818_022901_027BE3_44D9,S1A_IW_SLC__1SDV_20180815T023753_20180815T023819_023251_028702_7D4B
2018-07-22,2018-08-27,S1A_IW_SLC__1SDV_20180722T023751_20180722T023818_022901_027BE3_44D9,S1A_IW_SLC__1SDV_20180827T023753_20180827T023820_023426_028CA0_4F67
2018-07-22,2018-09-08,S1A_IW_SLC__1SDV_20180722T023751_20180722T023818_022901_027BE3_44D9,S1A_IW_SLC__1SDV_20180908T023754_20180908T023821_023601_02923A_45E3
2018-08-03,2018-08-15,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5,S1A_IW_SLC__1SDV_20180815T023753_20180815T023819_023251_028702_7D4B
2018-08-03,2018-08-27,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5,S1A_IW_SLC__1SDV_20180827T023753_20180827T023820_023426_028CA0_4F67
2018-08-03,2018-09-08,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5,S1A_IW_SLC__1SDV_20180908T023754_20180908T023821_023601_02923A_45E3
2018-08-03,2018-09-20,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5,S1A_IW_SLC__1SDV_20180920T023754_20180920T023821_023776_0297D9_A782
2018-08-03,2019-07-29,S1A_IW_SLC__1SDV_20180803T023752_20180803T023819_023076_028161_5CE5,S1A_IW_SLC__1SDV_20190729T023758_20190729T023825_028326_03334F_88DE
2018-08-15,2018-08-27,S1A_IW_SLC__1SDV_20180815T023753_20180815T023819_023251_028702_7D4B,S1A_IW_SLC__1SDV_20180827T023753_20180827T023820_023426_028CA0_4F67
2018-08-15,2018-09-08,S1A_IW_SLC__1SDV_20180815T023753_20180815T023819_023251_028702_7D4B,S1A_IW_SLC__1SDV_20180908T023754_20180908T023821_023601_02923A_45E3
